"id","category","issue","why_it_matters","severity","evidence","exact_fix","owner_recommendation","launch_blocker","effort","target_phase","status"
"GA-001","E. Data integrity","Clean-environment Prisma migration chain is broken","A fresh production environment, DR restore rehearsal, or environment recreation can fail before the app is usable.","Critical","`documents/backend/README.md` documents that `backend/prisma/migrations/20260213120000_add_incident_response/migration.sql` alters `QrScanLog` before that table exists in the clean chain.","Repair the migration sequence, create a validated clean-install path, and run a greenfield migration test in CI and pre-prod.","Backend + DevOps","Yes","1-2 days","Before launch","Open"
"GA-002","H. Legal/compliance","No formal Privacy Policy is present in the app/site","MSCQR processes user, customer, support, and device-related data. Without a privacy notice, transparency obligations are not met.","Critical","Repo search found guides with compliance references but no formal policy document or public route/footer link.","Draft lawyer-reviewed Privacy Policy, publish it publicly, and link it from footer, login, verify, and support surfaces.","Legal/Privacy + Product","Yes","2-3 days plus review","Before launch","Open"
"GA-003","H. Legal/compliance","No formal Terms of Service / Terms of Use surfaced","Commercial SaaS launch requires clear contractual use terms, acceptable use boundaries, and liability framing.","Critical","No formal terms document or route found in repo search or public shell.","Draft Terms of Use, align with role-based usage and support expectations, and surface them across public/authenticated shells.","Legal + Founder","Yes","2-3 days plus review","Before launch","Open"
"GA-004","G. Privacy and cookies","No formal Cookie Notice / Cookie Policy surfaced","Cookies and browser storage are actively used for auth, verification continuity, and UI persistence. Users need clear disclosure.","High","Cookie and storage usage found in backend auth services and frontend verification/layout/help flows; no cookie notice route found.","Publish a cookie notice that inventories cookies/storage and links to privacy materials.","Legal/Privacy + Frontend","Yes","1-2 days","Before launch","Open"
"GA-005","G. Privacy and cookies","Consent/banner posture is undefined for deployed runtime","If non-essential cookies or telemetry are active in the final deployment, UK/EU launch may require consent before setting them.","High","No consent banner implementation found; Sentry exists and multiple browser identifiers are set; no runtime banner component found.","Decide essential vs non-essential classification with counsel, then implement consent UI and conditional loading where needed.","Legal/Privacy + Frontend","Yes","1-3 days","Before launch","Open"
"GA-006","C. Role-based workflows","Verify-customer bearer compatibility is still available","Leaving legacy compatibility open weakens auth clarity and prolongs security debt during launch.","High","`backend/src/services/customerVerifyCookieService.ts`, `backend/src/middleware/customerVerifyAuth.ts`, and `scripts/check-customer-auth-cutover.mjs` show compatibility support and skipped enforcement.","Disable legacy bearer compatibility in production after validating no remaining clients depend on it; monitor cutover metrics.","Backend + QA","Yes","0.5-1 day","Before launch","Open"
"GA-007","F. Security","Legacy admin token response compatibility still exists","Mixed response modes make auth behavior harder to reason about and easier to misconfigure.","High","`backend/src/controllers/authController.ts` and env-controlled legacy token response logic.","Turn off legacy token response in production and remove fallback once clients are confirmed compatible.","Backend","Yes","0.5-1 day","Before launch","Open"
"GA-008","I. AWS/infra/ops","Backup strategy is documented but not evidenced","A written runbook is not the same as verified recovery capability.","High","`documents/BACKUP_RESTORE_DR_RUNBOOK.md` exists, but repo cannot prove snapshot schedules, retention, or successful restore drills.","Capture AWS evidence: backup policies, schedules, restore logs, drill dates, and named owners.","DevOps","Yes","1-2 days","Before launch","Open"
"GA-009","K. Backup/restore/disaster readiness","Restore testing proof is missing from the repo","Without restore proof, data protection is an assumption rather than an operational fact.","High","DR runbook exists; no restore test artifact or signed drill evidence located in repo.","Perform and document a timed restore drill in non-prod using recent production-like backups.","DevOps + DBA","Yes","1 day","Before launch","Open"
"GA-010","I. AWS/infra/ops","S3/object storage least-privilege and lifecycle controls are not provable from code alone","Support evidence, uploads, and generated artifacts may be exposed or retained longer than intended.","High","Object storage integration exists and production startup enforces object storage, but IAM policy, lifecycle, versioning, and public access blocks are not evidenced in repo.","Export and review bucket policies, lifecycle, versioning, encryption, and public-access-block settings; document them.","DevSecOps","Yes","1 day","Before launch","Open"
"GA-011","J. Monitoring/logging/incident handling","Monitoring and alert routing are partially documented but not evidenced","On-call readiness depends on actual alert destinations, not only docs and config checks.","High","CloudWatch validation script passes and runbooks exist, but no evidence of active alert targets or escalation ownership is in repo.","Confirm live alarms, destinations, runbooks, and on-call assignments with screenshots or exported config.","DevOps + Ops Lead","Yes","1 day","Before launch","Open"
"GA-012","B. UX/UI polish","Public/legal trust surface is incomplete","Premium SaaS customers expect visible legal, support, and trust links before onboarding or verification.","High","`src/pages/Index.tsx` and `src/pages/TrustCenter.tsx` are polished, but no formal legal footer links or policies were found.","Add persistent footer links for privacy, terms, cookies, support, and trust docs across public/auth shells.","Frontend + Product","Yes","0.5-1 day","Before launch","Open"
"GA-013","O. Professionalism / premium SaaS feel","Connector trust path is incomplete until signing/notarization is confirmed","Unsigned installers create a low-trust experience and can stop manufacturer onboarding cold.","High","Connector download route exists; repo context includes local print connector packaging and signing remains open.","Define and implement signed release pipeline for Windows and macOS connector artifacts, including checksum publication.","DevOps + Desktop/Connector Owner","Yes","1-3 days","Before launch","Open"
"GA-014","J. Monitoring/logging/incident handling","Console logging is still scattered through app and backend","Unstructured logs increase incident response time and risk leaking noisy or sensitive detail.","Medium","Multiple `console.error`, `console.warn`, and `console.log` usages remain in frontend and backend.","Standardize on structured logger, classify PII-safe fields, and remove stray console statements.","Backend + Frontend","No","1-2 days","Phase 2","Open"
"GA-015","O. Professionalism / premium SaaS feel","`src/lib/mock-data.ts` remains in source tree","Mock residue in a commercial product increases confusion and accidental misuse risk.","Medium","`src/lib/mock-data.ts` contains realistic fake users, licensees, manufacturers, and audit records.","Remove dead mock data or move it behind test-only boundaries.","Frontend","No","0.5 day","Phase 2","Open"
"GA-016","B. UX/UI polish","404 page is too plain and logs to console","A dev-like 404 undermines trust and adds avoidable noise to client logs.","Medium","`src/pages/NotFound.tsx` is minimal and logs the missing route with `console.error`.","Replace with branded recovery page, support CTA, and no console noise in production.","Frontend","No","0.5 day","Phase 2","Open"
"GA-017","L. Support/onboarding/comms","Support upload and screenshot retention/access policy is not clearly formalized","Support evidence can contain sensitive user and screen content and needs retention/deletion rules.","High","Support issue launcher, screenshot capture, and upload middleware exist; no formal retention/deletion policy surfaced.","Define retention, access control, redaction, and deletion rules; reflect them in policy and support SOPs.","Support Ops + Legal + Security","Yes","1-2 days","Before launch","Open"
"GA-018","H. Legal/compliance","No Data Processing Addendum is ready for B2B customers","If MSCQR processes data on behalf of licensees/manufacturers, enterprise customers will expect Article 28 terms.","High","Role model and hosted SaaS posture indicate controller/processor relationships may apply; no DPA found.","Prepare a DPA template covering subprocessors, security, deletion/return, breach notification, and audit rights.","Legal + Founder","Yes","2-3 days plus review","Before launch","Open"
"GA-019","H. Legal/compliance","No retention/deletion policy is surfaced","Customers and internal operators need clarity on how long support, incident, and verification data is retained.","High","Customer verification guide mentions 180-day logging, but no formal policy or app-level disclosure was found.","Publish retention/deletion policy and align backend jobs, docs, and support procedures to it.","Legal/Privacy + Backend + Ops","Yes","1-2 days","Before launch","Open"
"GA-020","C. Role-based workflows","Role UAT evidence is missing","Routes exist, but there is no final signoff proving each role can complete critical journeys without confusion.","High","Role guides and route guards exist; no signed UAT artifacts found in repo.","Run scripted UAT for super admin, licensee admin, manufacturer, and public/customer roles with issue tracking and signoff.","QA + Product Ops","Yes","2-3 days","Before launch","Open"
"GA-021","L. Support/onboarding/comms","Onboarding master data and import templates are not packaged as a formal launch kit","First customer onboarding will be slower and riskier without standardized templates and validation steps.","Medium","Operational guides exist, but no dedicated launch-ready onboarding kit or import templates are surfaced in the app repo.","Create onboarding packet with templates, validation checklist, QR numbering rules, and access prerequisites.","Product Ops + Customer Success","No","1-2 days","Phase 4","Open"
"GA-022","N. Performance / scalability","Frontend build produces several large chunks","Launch is still possible, but scale and slow networks will benefit from post-launch optimization.","Medium","`vite build` passed but reported large chunks for charting, Radix, capture, and main bundle assets.","Add route-level code splitting, lazy-load heavy diagnostics/capture flows, and review dependency weight.","Frontend","No","2-4 days","After launch","Open"
"GA-023","F. Security","No repo evidence of external pen test or targeted security assessment","A serious commercial launch benefits from independent validation beyond internal controls.","Medium","Strong internal guardrails exist, but no external assessment report is present in repo.","Schedule a focused application pen test and remediation window.","Founder + Security","No","3-5 days","After launch or parallel","Open"
"GA-024","I. AWS/infra/ops","Release gate is strong on validation but not a full deployment runbook by itself","Teams may confuse workflow success with end-to-end deployment readiness.","Medium","`.github/workflows/release-gate.yml` primarily confirms gate status rather than performing a full deploy.","Publish a concise operator-facing deployment procedure that references exact commands, rollback points, and owners.","DevOps","No","0.5-1 day","Phase 5","Open"
"GA-025","M. Release management / rollback","Rollback process exists in docs but rehearsal evidence is missing","Rollback quality is only real if the team has rehearsed it.","High","`documents/deployment-audit/ROLLBACK.md` exists; no rehearsal artifact found in repo.","Run a rollback exercise in staging/pre-prod and capture timings, owners, and decision thresholds.","DevOps + QA","Yes","1 day","Before launch","Open"
"GA-026","O. Professionalism / premium SaaS feel","Legal and support signals are stronger in docs than in product UI","Enterprise buyers judge the product shell, not the repo docs.","Medium","Guides under `documents/` are strong, but public/app UI surfaces do not expose the same trust depth.","Surface concise support, privacy, and trust indicators in-product and on public pages.","Frontend + Product Marketing","No","1 day","Phase 2","Open"
"GA-027","G. Privacy and cookies","Runtime cookie inventory still needs browser-level confirmation","Reverse proxies, CDNs, and auth infrastructure can add cookies not visible in source code.","Medium","Code audit identified app-set cookies/storage, but no runtime HAR/browser audit was performed against deployed production.","Run browser devtools/HAR capture in staging/prod and compare against documented inventory.","QA + Frontend","No","0.5 day","Phase 3","Open"
"GA-028","D. Functional completeness","Support and incident operational ownership need final named approvers","The app can raise support and incident workflows, but launch readiness requires explicit human ownership.","Medium","Support launcher, governance, and IR routes exist; named owner matrix is not evident in repo artifacts.","Assign primary/secondary owners, SLA windows, and escalation contacts in runbooks and launch checklist.","Ops Lead + Founder","No","0.5 day","Phase 5","Open"
